"ville;CP;Latitude ville;Longitude ville"
"Paris  ;75000;48.86080;2.34580"
"Paris  10e arrondissement;75010;48.87190;2.35740"
"Paris 11e arrondissement;75011;48.85846;2.37959"
"Paris 12e arrondissement;75012;48.84099;2.38794"
"Paris13e arrondissement;75013;48.83234;2.35551"
"Paris 14e arrondissement;75014;48.83292;2.32680"
"Paris  15e arrondissement;75015;48.84132;2.30024"
"Paris 16e arrondissement;75016;48.86278;2.27611"
"Paris17e arrondissement;75017;48.88435;2.32207"
"Paris 18e arrondissement;75018;48.89234;2.34455"
"Paris 19e arrondissement;75019;48.88277;2.38203"
"Paris  1er arrondissement;75001;48.85995;2.34206"
"Paris 20e arrondissement;75020;48.86510;2.39903"
"Paris 2e arrondissement;75002;48.86689;2.34047"
"Paris  3e arrondissement;75003;48.86403;2.36153"
"Paris 4e arrondissement;75004;48.85619;2.35568"
"Paris 5e arrondissement;75005;48.84620;2.34462"
"Paris 6e arrondissement;75006;48.85057;2.33273"
"Paris 7e arrondissement;75007;48.85690;2.31995"
"Paris  8e arrondissement;75008;48.87782;2.31781"
"Paris  9e arrondissement;75009;48.87248;2.34042"
"Achères-la-Forêt;77760;48.35361;2.57028"
"Amillis;77120;48.74028;3.13056"
"Amponville;77760;48.27889;2.52944"
"Andrezel;77390;48.61111;2.81361"
"Annet-sur-Marne;77410;48.92694;2.71972"
"Arbonne-la-Forêt;77630;48.41361;2.56444"
"Argentières;77390;48.65445;2.87028"
"Armentières-en-Brie;77440;48.97833;3.02056"
"Arville;77890;48.18694;2.54972"
"Aubepierre-Ozouer-le-Repos;77720;48.63083;2.88722"
"Aufferville;77570;48.21417;2.61000"
"Augers-en-Brie;77560;48.68028;3.35861"
"Aulnoy;77120;48.84167;3.09611"
"Avon;77210;48.40778;2.72361"
"Baby;77480;48.39722;3.34194"
"Bagneaux-sur-Loing;77167;48.22889;2.70556"
"Bailly-Romainvilliers;77700;48.84028;2.81139"
"Balloy;77118;48.39722;3.14722"
"Bannost-Villegagnon;77970;48.67805;3.19250"
"Barbey;77130;48.36500;3.05694"
"Barbizon;77630;48.44695;2.60278"
"Barcy;77910;49.01778;2.88111"
"Bassevelle;77750;48.92833;3.28778"
"Bazoches-lès-Bray;77118;48.39944;3.18917"
"Beauchery-Saint-Martin;77560;48.61500;3.40417"
"Beaumont-du-Gâtinais;77890;48.13611;2.47556"
"Beautheil-Saints;77120;48.75861;3.05083"
"Beauvoir;77390;48.64528;2.86417"
"Bellot;77510;48.85722;3.31917"
"Bernay-Vilbert;77540;48.67694;2.93833"
"Beton-Bazoches;77320;48.70167;3.24500"
"Bezalles;77970;48.67833;3.24389"
"Blandy;77115;48.56583;2.78250"
"Blennes;77940;48.25722;3.02417"
"Bois-le-Roi;77590;48.46972;2.70639"
"Boisdon;77970;48.68444;3.22500"
"Boissettes;77350;48.52139;2.61056"
"Boissise-la-Bertrand;77350;48.52750;2.58861"
"Boissise-le-Roi;77310;48.52806;2.57306"
"Boissy-aux-Cailles;77760;48.31944;2.50389"
"Boissy-le-Châtel;77169;48.82083;3.13861"
"Boitron;77750;48.89611;3.26167"
"Bombon;77720;48.57361;2.85944"
"Bougligny;77570;48.19500;2.65750"
"Boulancourt;77760;48.25750;2.43500"
"Bouleurs;77580;48.88278;2.90778"
"Bourron-Marlotte;77780;48.33944;2.70083"
"Boutigny;77470;48.92000;2.93028"
"Bransles;77620;48.15167;2.83333"
"Bray-sur-Seine;77480;48.41556;3.24111"
"Bréau;77720;48.56139;2.87917"
"Brie-Comte-Robert;77170;48.69111;2.61167"
"la Brosse-Montceaux;77940;48.34306;3.02083"
"Brou-sur-Chantereine;77177;48.88278;2.63250"
"Burcy;77890;48.23833;2.52250"
"Bussières;77750;48.92194;3.23472"
"Bussy-Saint-Georges;77600;48.84222;2.69833"
"Bussy-Saint-Martin;77600;48.85000;2.69250"
"Buthiers;77760;48.28528;2.42861"
"Cannes-Écluse;77130;48.36361;2.98556"
"Carnetin;77400;48.90111;2.70528"
"la Celle-sur-Morin;77515;48.80639;2.96750"
"Cély;77930;48.46028;2.53889"
"Cerneux;77320;48.69389;3.34639"
"Cesson;77240;48.56333;2.60528"
"Cessoy-en-Montois;77520;48.50500;3.14806"
"Chailly-en-Bière;77930;48.46695;2.60750"
"Chailly-en-Brie;77120;48.79028;3.12472"
